"%s was successfully added to your shopping cart.","%s è stato aggiunto al carrello."
"&laquo; Back to Shopping Cart","&laquo; Torna al Carrello"
"&laquo; Back to Billing Information","&laquo; Torna alle Informazioni di Fatturazione"
"&laquo; Back to Select Addresses","&laquo; Vai all'indirizzo selezionato"
"* Required Fields","* Campi obbligatori"
"Please <a href=""%s"">continue shopping</a>.","<a href=""%s"">continue gli acquisti</a>."
"Easy access to your order history and status","Accesso facile alla cronologia ed allo stato dei tuoi ordini"
"Checkout","Acquista"
"Update Shopping Cart","Aggiorna Carrello"
"Update Qty &amp; Addresses","Aggiorna Qta &amp; Indirizzi"
"Update Total","Aggiorna Totale"
"Add to Cart","Aggiungi al Carrello"
"Add to Wishlist","Aggiungi alla Wishlist"
"Add New Address","Aggiungi Nuovo Indirizzo"
"Some of the products you requested are not available in the desired quantity","Alcuni prodotti da te richiesti non sono disponibili"
"Some of the products you requested are unavailable","Alcuni prodotti da te richiesti sono indisponibili"
"Apply Coupon","Applica Coupon"
"Items","Articoli"
"Company","Azienda"
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","C'è <a href=""%s""><strong>1 oggetto</strong></a> nel tuo carrello."
"There is already a customer registered using this email address","C'è già un cliente registrato usando questo indirizzo email"
"Estimate Shipping and Tax","Calcola Spese di Spedizione e Tasse"
"Change Billing Address","Cambia Indirizzo di Fatturazione"
"Change Shipping Address","Cambia Indirizzo di Spedizione"
"Change Shipping Method","Cambia Metodo di Spedizione"
"Change Payment Method","Cambia modalit&agrave; di Pagamento"
"Cancel Coupon","Cancella Buono"
"Zip/Postal Code","CAP/Codice postale"
"Shopping Cart","Carrello"
"My Cart","Carrello"
"My Cart (%s items)","Carrello (%s items)"
"My Cart (%s item)","Carrello (%s oggetto)"
"Fast and easy check out","Check out facile e veloce"
"Checkout as Guest","Checkout come Ospite"
"Checkout as a Guest or Register","Checkout come Ospite o Registrati"
"Checkout with Multiple Addresses","Checkout con Indirizzi Multipli"
"Close","Chiudi"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Ci sono <a href=""%s""><strong>%s articoli</strong></a> nel carrello."
"City","Città"
"Click <a href=""%s"" target=""_blank"">here to print</a> a copy of your order confirmation.","Clicca <a href=""%s"" target=""_blank"">qui per stampare</a> una copia della tua conferma d'ordine."
"Coupon code ""%s"" is not valid.","Codice Coupon ""%s"" invalido."
"Coupon code was applied successfully.","Codice Coupon applicato correttamente."
"Discount Codes","Codice Sconto"
"Last Name","Cognome"
"Confirm Password","Conferma Password"
"Add to Compare","Confronta Prodotto"
"Ship to Multiple Addresses","Consegna a Indirizzi Multipli.
Default Shipping"""
"Allow Guest Checkout","Consenti Checkout Ospiti"
"Continue","Continua"
"Continue to Shipping Information","Continua alle Informazioni di Spedizione"
"Continue Shopping","Continua Aquisti"
"Proceed to Checkout","Continua con il Checkout"
"Continue to Review Your Order","Continua Controllo Ordine"
"Review Order","Controlla Ordine"
"Order Review","Controlla Ordine"
"Review Order - %s","Controlla Ordine - %s"
"Create Billing Address","Crea Indirizzo di Fatturazione"
"Create Shipping Address","Crea Indirizzo di Spedizione"
"Invalid data","Dati non validi"
"Forgot an Item?","Dimenticato un Articolo?"
"After adding a product redirect to shopping cart","Dopo aver aggiunto un prodotto ritorna al carrello"
"Load customer quote error","Errore caricamento preventivo cliente"
"Default Billing","Fatturazione Default"
"Fax","Fax"
"Already registered?","Gi&agrave; registrato?"
"Thank you for your purchase!","Grazie per il tuo aquisto!"
"Forgot your password?","Hai dimenticato la password?"
"Shopping Cart is Empty","Il carrello &egrave; vuoto"
"Coupon code was canceled successfully.","Il codice del Buono è stato correttamente cancellato."
"My Account","Il mio Account"
"Product does not exist","Il prodotto non esiste"
"Your order number is %s","Il tuo numero ordine è %s"
"Your order # is: %s","il tuo ordine # è: %s"
"Your order has been received","Il tuo ordine &egrave; stato ricevuto"
"Configurable product image","Immagine prodotto configurabile"
"Grouped product image","Immagine prodotto Grouped"
"Cannot update shopping cart","Impossibile aggiornare il carrello"
"Can not add item to shopping cart","Impossibile aggiungere l'articolo al carrello"
"Can not apply coupon code.","Impossibile applicare il codice coupon."
"Cannot remove item","Impossibile rimuovere il prodotto"
"Cannot move item to wishlist","Impossibile spostare articolo alla wishlist"
"Based on your selection, you may be interested in the following items:","In base alla tua selezione, potresti essere interessato ai seguenti articoli:"
"Back","Indietro"
"Address","Indirizzo"
"Street Address","Indirizzo"
"Address %s of %s","Indirizzo %s di %s"
"Street Address 2","Indirizzo 2"
"Shipping Address","Indirizzo di Spedizione"
"Email Address","Indirizzo Email"
"Billing Address","Indirizzo Fatturazione"
"Billing Information","Informazioni di Fatturazione"
"Billing Information - %s","Informazioni di Fatturazione - %s"
"Payment Information","Informazioni di Pagamento"
"Shipping Information","Informazioni Spedizione"
"Please enter a coupon code.","Inserisci il codice coupon."
"Please enter a coupon code.","Inserisci il codice coupon."
"Enter your destination to get a shipping estimate.","Inserisci la destinazione per avere un preventivo delle spese di consegna."
"Place Order","Inserisci ordine"
"Please enter a valid zip code. For example 90602 or 90602-1234.","Inserisci un codice postale valido. Per esempio 20100 o 00100."
"Enter a New Address","Inserisci un Nuovo Indirizzo"
"Send to","Invia a"
"Submitting order information...","Invia informazioni ordine..."
"Register with us for future convenience:","La registrazione comporta i seguenti vantaggi:"
"My Cart Link","Link Carrello"
"Login","Login"
"Please log in below:","Login:"
"Invalid shipping method.","Metodo di Spedizione Invalido."
"Shipping Method","Modalit&agrave; consegna"
"Checkout method","Modalit&agrave; di Checkout"
"Shipping Methods","Modalit&agrave; di consegna"
"Payment Method","Modalit&agrave; di Pagamento"
"Shipping method has not been selected yet","Modalit&agrave; di spedizione non ancora selezionata"
"Payment method is not defined","Modalità di pagamento non definita"
"Edit","Modifica"
"Edit Items","Modifica Articoli"
"Edit Your Cart","Modifica il Tuo Carrello"
"Edit Address","Modifica Indirizzo"
"Edit Billing Address","Modifica Indirizzo di Fatturazione"
"Edit Shipping Address","Modifica Indirizzo di Spedizione"
"Display item quantities","Mostra quantità oggetti"
"Country","Nazione"
"First Name","Nome"
"Product Name","Nome Prodotto"
"You have no items in your shopping cart.","Non ci sono articoli nel tuo carrello."
"You have no items in your cart.","Non hai articoli nel carrello."
"New Address","Nuovo indirizzo"
"Checkout Options","Opzioni Checkout"
"Order Success","Ordinato con Successo"
"Password","Password"
"Price","Prezzo"
"Unit Price","Prezzo Unitario"
"Data saving problem","Problema salvataggio dati"
"Recently added item(s)","Prodotti aggiunti recentemente"
"Product","Prodotto"
"Continue to Billing Information","Prosegui alle Informazioni di Fatturazione"
"Loading next step...","Prossimo passo..."
"Qty","Qta"
"Maximum qty allowed for Shipping to multiple addresses is %s","Qta massima consentita per la Spedizione ad indirizzi multipli &egrave; %s"
"Register","Registrati"
"Register and save time!","Registrati e risparmia tempo!"
"Register to Create an Account","Registrati per Creare un Account"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Riceverai la conferma dell' ordine via email con i dettagli e un link per seguire il suo avanzamento."
"Get a Quote","Richiedi Preventivo"
"Card Verification Number Visual Reference","Riferimento visivo del numero di Verifica della Carta"
"Remove","Rimuovi"
"Remove Item","Rimuovi articolo"
"Remove Product","Rimuovi Prodotto"
"Save in address book","Salva nella Rubrica"
"Enter your coupon code if you have one.","Se possiedi un Codice Coupon inseriscilo qui."
"Are you sure you would like to remove this item from the shopping cart?","Sei sicuro di voler togliere questo articolo dal carrello?"
"Select Addresses","Seleziona Indirizzi"
"Select Address","Seleziona Indirizzo"
"Select Shipping Method","Seleziona Modalit&agrave; di Consegna"
"Store Pickup","Seleziona Negozio"
"Please select region, state or province","Seleziona regione, stato o provincia"
"Select State/Province...","Seleziona Stato/Provincia..."
"Select a shipping address from your address book or enter a new address.","Seleziona un indirizzo di consegna dalla tua rubrica oppure inserisci un nuovo indirizzo."
"Select a billing address from your address book or enter a new address.","Seleziona un indirizzo di fatturazione dalla tua rubrica o inserisci un nuovo indirizzo."
"Please select shipping methods for all addresses","Seleziona una modalit&agrave; di Spedizione per tutti gli indirizzi"
"There was an error processing your order. Please contact us or try again later.","Si è verificato un errore di elaborazione del tuo ordine. Ti preghiamo di contattarci o di riprovare più tardi."
"Please specify the product(s) quantity","Specifica la quantit&agrave; del(i) prodotto(i)"
"Please specify the product option(s)","Specifica le opzioni del prodotto(i)"
"Shipping to","Spedisci a"
"Ship to different address","Spedisci a diversi indirizzi"
"Ship to this address","Spedisci a questo indirizzo"
"Default Shipping","Spedizione Standard"
"Sorry, no quotes are available for this order at this time.","Spiacente, nessun preventivo disponibile per questo ordine, al momento."
"Move to Wishlist","Sposta nella Wishlist"
"Your Checkout Progress","Stato Avanzamento Checkout"
"State/Province","Stato/Provincia"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Stiamo smistando il tuo ordine, entro breve riceverai una mail con i dettagli. Al momento dell'invio dell'ordine riceverai una seconda email contenente  il link per tracciare la spedizione."
"Subtotal","Subtotale"
"Cart Subtotal:","Subtotale Carrello:"
"Telephone","Telefono"
"Back to Shipping Information","Torna alle Informazioni di Spedizione"
"Grand Total:","Totale Complessivo:"
"Total for this address","Totale per questo indirizzo"
"Use Billing Address","Utilizza Indirizzo Fatturazione"
"Quote Lifetime (days)","Validit&agrave; preventivo (giorni)"
"Display number of items in cart","Visualizza numero di articoli nel carrello"
"Display Cart Summary","Visualizza Riepilogo Carrello"
