"(Make sure you keep it in a safe place.)","(これを安全な場所に保存してください)"
"(Optional. Leave blank for no prefix)","(オプション。プレフィクスが必要ない場合は空白のままにしてください)"
"(ver. %s)","(ver. %s)"
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Apache設定の<code>mode_rewrite</code>を有効にしてください。"
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","その他の場合でもWebサーバーの実行ユーザーにMagentoのファイルへの書き込み権を与える必要があります。"
"Enable this option only if you have SSL available.","このオプションはSSLが有効な場合のみ有効化してください。"
"You could enable this option to use web server rewrites functionality for improved search engines optimization.","このオプションを有効化することで、サーバーのリライト機能を使い検索エンジンの最適化することができます。"
"Please note that only UNIX, Linux and Mac OSX shells are currently supported. For Windows use the '%s' option.","これはUNIX、Linux、Mac OSXシェルでのみ現在サポートされています。Windowsでは'%s'オプションを利用してください。"
"You're All Set","すべて完了しました"
"First Name","名"
"Last Name","姓"
"I agree to the above terms and conditions","上記の利用規約に同意します"
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","他の方法として、’マニュアルダウンロードとアップデート'方法を試すことができます。"
"Required Fields","必須項目"
"Check out our","チェック"
"Report All Bugs","バグを報告する"
"You can specify server port, ex.: localhost:3307<br/>If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","ポート番号を指定できます（例：localhost:3307<br/>もし、デフォルトのUNIXソケットを使用しない場合、ホストの代わりに指定することができます。（例：/var/run/mysqld/mysqld.sock）"
"Email","メールアドレス"
"Email Address","メールアドレス"
"User Name","ユーザー名"
"Username","ユーザー名"
"Localization","ローカライゼーション"
"Login Information","ログイン情報"
"Path ""%s"" must be writable","パス""%s""は書き込み可能である必要があります"
"Password","パスワード"
"User Password","パスワード"
"Confirm Password","パスワード確認"
"Password Confirmation","パスワード確認"
"Tables Prefix","テーブルプレフィックス"
"Table prefix should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","テーブルプレフィックスは英字(a-z)、数字(0-9)、そして下線(_)のみ使用可能で、最初の文字は英字である必要があります。"
"Database Name","データベース名"
"Database user name","データベースユーザー名"
"Database user password","データベースユーザーパスワード"
"Database host","データベースホスト"
"Database Connection","データベース接続"
"Database connection error","データベース接続エラー"
"Full Download / SVN Installation","フルダウンロード / SVNインストール"
"Continue Full Download / SVN Installation","フルダウンロード / SVNインストールを続ける"
"Choose this if you would like to test frontend and backend functionality.","フロントエンドとバックエンドの機能をテストしたい場合に選択してください。"
"Go to Frontend","フロントエンドに移動する"
"Host","ホスト"
"Download","ダウンロード"
"Installation","インストレーション"
"Installation Guide","インストレーションガイド"
"After successfull installation please click the button below.","インストールが成功したら、下のボタンをクリックしてください。"
"Web access options","ウェブアクセスオプション"
"Use Web Server (Apache) Rewrites","ウェブサーバー(Apache)のリライトを使用する"
"Preferred stability: %s","ステータス: %s"
"Setting preferred state to: %s","ステータスチェックをスキップする: %s"
"Use Secure URLs (SSL)","セキュアなURL(SSL)を使用"
"Secure Base URL","セキュアベースURL"
"Time Zone","タイムゾーン"
"If you are running install wizard over previously downloaded and installed Magento installation, proceed with this method.","もしあなたがインストールウィザードを以前ダウンロードしたりインストールしたMagentoで実行している場合、この方法を実行してください。"
"If you are a developer and would like to have the latest public updates, choose this option.","もしあなたが開発者で最新版を使用したい場合はこのオプションを選択してください。"
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","もしあなたがPHPをCGIとして動かしている場合、PHPはMagentoのファイルの所有者と同じユーザーの権限で動作します。"
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","もしもフルパッケージ、またはSVNからMagentoをダウンロードした場合は、下のボタンをクリックしてパッケージのインストールと検証をスキップしてください。"
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","もし、WebサーバーにMagentoのフォルダへ書き込ませたくない場合、PEARリポジトリからMagentoインストールを行うことができます。"
"If your server is running on MS Windows, most probably you will not need to change anything.","もしWindowsサーバーをお使いの場合は何も変更する必要が無いかもしれません。"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","先に進む前に暗号化キーをメモしておいてください（Magentoはパスワードやクレジットカードの暗号化に使用します）。"
"Please set all required settings before clicking Continue","「続ける」をクリックするまえに全ての必須項目を入力してください"
"Personal Information","個人情報"
"Currently this is the most stable state available for Magento packages.","現在のMagentoの最新安定版です。"
"Go to Backend","管理画面に移動する"
"Create Admin Account","管理者アカウントの作成"
"Run admin interface with SSL","管理者インターフェースをSSLで利用する"
"Continue","続ける"
"Configuration","設定"
"Locale","言語"
"Locale settings","言語設定"
"Proceed With Automatic Download (%s)","自動ダウンロードを進める (%s)"
"Get ready to experience Open-Source eCommerce Evolved.","進歩したオープンソースEコマースの体験の準備が出来ました"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","HTTP認証が必要な場合など、セキュアURLを自動的に検証できない場合のみこのボックスにチェックをいれてください。"
"Magento","Magento"
"Run this in your shell from Magento root folder:","Magentoのルートディレクトリに配置してシェルから実行してください:"
"Download Magento Core Modules and Updates","Magentoのコアモジュールと更新をダウンロードする"
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","Magentoはこのキーをパスワード、クレジットカード、その他の暗号化のために使用します。この項目を空白にした場合、システムは暗号キーを作成し、次のページで表示します。"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","MagentoはIrubin Consulting Inc.の登録商標です。DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
"There was a problem installing Magento packages. Please read the log, correct errors and retry again.","Magentoパッケージのインストール中に問題が発生しました。ログを確認のうえ問題を解決してください。"
"Having trouble installing Magento?","Magentoインストールで不具合がありますか？"
"Magento Installation Wizard","Magentoインストールウィザード"
"Welcome to Magento's Installation Wizard","Magentoインストールウィザードへようこそ"
"Downloading and installing Magento, please wait...","Magentoをダウンロードしてインストールしています。お待ちください。"
"Help Us to Keep Magento Healthy","Magentoをよりよくするために私達に協力お願い致します。"
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","MagentoをWeb管理インターフェイスから管理したい場合は、WebからMagentoの全てのフォルダとファイルに対して書き込み権限が必要です。"
"PHP Extension ""%s"" must be loaded","PHP拡張""%s""を読み込む必要があります"
"PHP Extension '%s' loaded","PHP拡張'%s'をロードしました"
"Provide a complete base URL for SSL connection. For example: %s","SSLコネクションの正しいURLを準備してください。例: %s"
"Url ""%s"" is not accessible","Url ""%s""はアクセスできません"
"Url ""%s"" is invalid","Url""%s""は無効です"
"This Url is invalid","URLが不正です"
"Package Management through the Web","Webからパッケージを管理する"
"Encryption Key","暗号化キー"
"Connection","接続"
"Default Currency","標準通貨"
"Skip Secure URL validation before next step","次のステップに進む前のセキュアURL検証をスキップする"
"One from PHP Extensions ""%s"" must be loaded","次のPHP拡張の中から一つを読み込む必要があります。""%s"""
"All packages were installed successfully, click 'Ok' to continue with installation","正常にすべてのパッケージがインストールされました。'OK'をクリックしてインストールを続行してください。"
"Please note that it is much less stable than beta.","注意：ベータ版よりも安定していません。"
"Manual Downloads and Upgrades","手動でのダウンロードとアップグレード"
"Continue After Manual Download","手動ダウンロードして続ける"
